Palmatica, Gräfin Nowalska;Vaida Raginskytė
Laura, ihre Tochter;Fenja Lukas
Bronislawa, ihre Tochter;Martina Fender
Oberst Ollendorf, Gouverneur von Krakau;Hans Gröning
von Wangenheim, Major;Domen Fajfar
von Henrici, Rittmeister;Siegfried Dietrich
von Schweinitz, Leutnant;Tomaz Kovacic
von Richthofen, Kornett im sächsischen Heer;Gotho Griesmeier
Jan Janicki, Student der jagellonischen Universität Krakau;Mathias Frey
Symon Rymanowicz, Student der jagellonischen Universität Krakau;Hans Schöpflin
Enterich, Kerkermeister;Alfred Rauch
Onuphrie, Palmaticas Leibeigener;Boris Daskalov
Wirtin;Ulrike Weixelbaumer
